Month,Zipcode,Crime rate per 1000
06/2023,85284,0.16
06/2023,85285,0.16
06/2023,85287,0.16
06/2023,85288,0.16
06/2023,85289,0.16
07/2023,85280,0.12
07/2023,85281,0.12
07/2023,85282,0.12
07/2023,85283,0.12
07/2023,85284,0.12
07/2023,85285,0.12
07/2023,85287,0.12
07/2023,85288,0.12
07/2023,85289,0.12
08/2023,85280,0.44
08/2023,85281,0.44
08/2023,85282,0.44
08/2023,85283,0.44
08/2023,85284,0.44
08/2023,85285,0.44
08/2023,85287,0.44
08/2023,85288,0.44
08/2023,85289,0.44
09/2023,85280,0.69
09/2023,85281,0.69
09/2023,85282,0.69
09/2023,85283,0.69
09/2023,85284,0.69
09/2023,85285,0.69
09/2023,85287,0.69
09/2023,85288,0.69
09/2023,85289,0.69
10/2023,85280,0.66
10/2023,85281,0.66
10/2023,85282,0.66
10/2023,85283,0.66
10/2023,85284,0.66
10/2023,85285,0.66
10/2023,85287,0.66
10/2023,85288,0.66
10/2023,85289,0.66
11/2023,85280,0.48
11/2023,85281,0.48
11/2023,85282,0.48
11/2023,85283,0.48
11/2023,85284,0.48
11/2023,85285,0.48
11/2023,85287,0.48
11/2023,85288,0.48
11/2023,85289,0.48
12/2023,85280,0.17
12/2023,85281,0.17
12/2023,85282,0.17
12/2023,85283,0.17
12/2023,85284,0.17
12/2023,85285,0.17
12/2023,85287,0.17
12/2023,85288,0.17
12/2023,85289,0.17
01/2018,85603,N/A
02/2018,85603,N/A
03/2018,85603,N/A
