year,zip,median_income,crime_rate_per_1000,business_count,avg_house_price
2023,85135,28654.0,4.82,N/A,N/A
2018,85137,53125.0,20.97,N/A,99042.05
2019,85137,55625.0,18.0,N/A,117400.73
2020,85137,55089.0,5.38,N/A,137586.75
2021,85137,58750.0,6.39,N/A,167093.17
2022,85137,63444.0,6.13,N/A,191689.45
2023,85137,60781.0,5.47,N/A,184433.25
2018,85138,71176.0,22.74,N/A,210441.42
2019,85138,76009.0,20.16,N/A,227550.73
2020,85138,76353.0,22.07,N/A,247390.97
2021,85138,83500.0,22.02,N/A,330248.23
2022,85138,89026.0,21.3,N/A,407489.29
2023,85138,93609.0,23.97,N/A,368974.2
2018,85139,56280.0,24.85,N/A,198692.87
2019,85139,57438.0,22.35,N/A,216421.7
2020,85139,61011.0,24.16,N/A,237585.49
2021,85139,72549.0,24.23,N/A,316673.73
2022,85139,81605.0,23.2,N/A,394663.8
2023,85139,85716.0,25.66,N/A,355849.39
2018,85140,69648.0,5.94,N/A,250514.95
2019,85140,71969.0,5.11,N/A,275559.99
2020,85140,76744.0,5.38,N/A,300767.48
2021,85140,82376.0,6.39,N/A,392397.03
2022,85140,91374.0,6.13,N/A,483668.04
2023,85140,98668.0,5.47,N/A,441214.61
2018,85141,39464.0,5.94,N/A,N/A
2019,85141,38846.0,5.11,N/A,N/A
2020,85141,59250.0,5.38,N/A,N/A
2021,85141,65000.0,6.39,N/A,N/A
2022,85141,65074.0,6.13,N/A,N/A
2023,85141,68696.0,5.47,N/A,N/A
2018,85142,84344.0,8.05,N/A,331607.74
